Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
10,A.O'Connell,Las Vegas Raiders,9,5,38.5,93,7.8,56,6.2,4.7,26,2.9,0,0.0%,0,0.0%,1,0,0,0,1,7.7%,0,0.0,/players/O/OConAi00.htm,12,82,1,0,12,16,120.8,0,0,0,0,0,0,20.0,922,Carolina Panthers,1,Allegiant,indoors,grass,85,18,5,1,Clear
11,G.Minshew,Las Vegas Raiders,18,10,33.3,211,7.5,105,5.8,3.8,109,6.1,0,0.0%,0,0.0%,2,0,0,0,2,6.3%,2,7.0,/players/M/MinsGa00.htm,28,214,1,1,8,54,84.5,3,14,0,10,0,0,80.0,922,Carolina Panthers,1,Allegiant,indoors,grass,85,18,5,1,Clear
12,A.Dalton,Carolina Panthers,26,15,38.5,219,5.9,128,4.9,3.5,191,7.3,0,0.0%,0,0.0%,2,0,0,0,2,5.1%,0,0.0,/players/D/DaltAn00.htm,37,319,3,0,13,35,123.6,2,-2,0,0,0,0,100.0,922,Las Vegas Raiders,0,Allegiant,indoors,grass,85,18,5,1,Clear
13,K.Murray,Arizona Cardinals,21,10,28.6,399,11.7,145,6.9,4.3,62,3.0,0,0.0%,0,0.0%,1,0,0,0,1,2.7%,2,12.0,/players/M/MurrKy00.htm,34,207,1,1,7,28,76.5,5,45,0,21,0,0,100.0,922,Detroit Lions,1,State Farm,indoors,grass,91,18,11,0,Mostly Cloudy
14,J.Goff,Detroit Lions,18,11,44.0,174,7.6,98,5.4,4.3,101,5.6,0,0.0%,0,0.0%,2,0,0,0,2,7.7%,1,8.0,/players/G/GoffJa00.htm,23,199,2,1,13,24,113.6,3,6,0,8,0,0,100.0,922,Arizona Cardinals,0,State Farm,indoors,grass,91,18,11,0,Mostly Cloudy
15,W.Levis,Tennessee Titans,26,14,33.3,231,6.8,125,4.8,3.7,135,5.2,0,0.0%,0,0.0%,8,0,0,0,8,18.2%,2,5.5,/players/L/LeviWi00.htm,34,260,2,2,56,29,92.8,3,12,0,8,1,1,100.0,922,Green Bay Packers,1,Nissan,outdoors,grass,88,59,11,24,Mostly Cloudy
16,M.Willis,Green Bay Packers,13,6,27.3,134,7.1,57,4.4,3.0,145,11.2,0,0.0%,0,0.0%,3,0,0,0,3,12.0%,3,10.7,/players/W/WillMa12.htm,19,202,1,0,12,37,120.9,6,73,1,29,0,0,100.0,922,Tennessee Titans,0,Nissan,outdoors,grass,88,59,11,24,Mostly Cloudy
17,J.Fields,Pittsburgh Steelers,25,9,26.5,164,5.1,101,4.0,3.2,144,5.8,0,0.0%,0,0.0%,2,0,0,0,2,5.7%,1,4.0,/players/F/FielJu00.htm,32,245,1,1,13,55,96.0,6,6,1,5,0,0,100.0,922,Los Angeles Chargers,1,Acrisure,outdoors,grass,72,56,8,1,Clear
18,J.Herbert,Los Angeles Chargers,12,6,30.0,163,9.1,67,5.6,3.7,58,4.8,0,0.0%,0,0.0%,2,0,0,0,2,10.0%,0,0.0,/players/H/HerbJu00.htm,18,125,1,0,14,27,105.1,1,0,0,0,1,0,78.0,922,Pittsburgh Steelers,0,Acrisure,outdoors,grass,72,56,8,1,Clear
19,G.Smith,Seattle Seahawks,26,13,35.1,193,5.7,137,5.3,4.0,152,5.8,0,0.0%,0,0.0%,3,0,0,0,3,8.1%,0,0.0,/players/S/SmitGe00.htm,34,289,1,2,19,71,86.5,2,-2,0,-1,1,0,100.0,922,Miami Dolphins,1,Lumen Field,outdoors,turf,66,65,0,7,Clear
20,T.Boyle,Miami Dolphins,7,4,28.6,104,8.0,31,4.4,2.4,48,6.9,0,0.0%,0,0.0%,1,0,0,0,1,6.7%,1,6.0,/players/B/BoylTi00.htm,13,79,0,0,9,30,72.3,1,6,0,6,0,0,43.0,922,Seattle Seahawks,0,Lumen Field,outdoors,turf,66,65,0,7,Clear
21,S.Thompson,Miami Dolphins,13,4,16.7,105,5.5,61,4.7,3.2,46,3.5,0,0.0%,0,0.0%,5,0,0,0,5,20.8%,0,0.0,/players/T/ThomSk00.htm,19,107,0,0,37,22,82.6,0,0,0,0,2,0,57.0,922,Seattle Seahawks,0,Lumen Field,outdoors,turf,66,65,0,7,Clear
22,D.Prescott,Dallas Cowboys,28,18,33.3,468,9.2,239,8.5,4.7,140,5.0,0,0.0%,0,0.0%,3,0,0,0,3,5.5%,1,6.0,/players/P/PresDa01.htm,51,379,2,0,18,31,91.9,2,7,1,6,1,0,100.0,922,Baltimore Ravens,1,AT&amp;T,indoors,turf,91,41,6,11,Clear
23,L.Jackson,Baltimore Ravens,12,8,53.3,47,3.1,31,2.6,2.1,151,12.6,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,3.0,/players/J/JackLa00.htm,15,182,1,0,0,56,139.4,14,87,1,16,0,0,100.0,922,Dallas Cowboys,0,AT&amp;T,indoors,turf,91,41,6,11,Clear
24,S.Darnold,Minnesota Vikings,17,12,37.5,190,6.8,114,6.7,4.1,67,3.9,0,0.0%,0,0.0%,4,0,0,0,4,12.5%,0,0.0,/players/D/DarnSa00.htm,28,181,4,0,25,28,119.2,0,0,0,0,1,0,97.0,922,Houston Texans,1,U.S. Bank,indoors,turf,66,50,13,0,Partly Cloudy
25,C.Stroud,Houston Texans,20,11,31.4,204,6.6,106,5.3,3.4,109,5.5,0,0.0%,0,0.0%,4,0,0,0,4,10.5%,3,4.0,/players/S/StroCJ00.htm,31,215,1,2,42,34,68.6,3,12,0,7,0,0,81.0,922,Minnesota Vikings,0,U.S. Bank,indoors,turf,66,50,13,0,Partly Cloudy
26,A.Richardson,Indianapolis Colts,10,4,19.0,193,9.7,69,6.9,3.5,98,9.8,0,0.0%,0,0.0%,1,0,0,0,1,4.5%,1,8.0,/players/R/RichAn03.htm,20,167,0,2,11,44,39.0,8,24,0,13,0,0,100.0,922,Chicago Bears,1,Lucas Oil,indoors,turf,71,77,7,64,Rain
27,C.Williams,Chicago Bears,33,18,32.1,462,8.9,243,7.4,4.7,120,3.6,0,0.0%,0,0.0%,4,0,0,0,4,7.1%,0,0.0,/players/W/WillCa03.htm,52,363,2,2,31,47,80.8,1,8,0,8,1,1,100.0,922,Indianapolis Colts,0,Lucas Oil,indoors,turf,71,77,7,64,Rain
