,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
21,S.Rattler,New Orleans Saints,26,14,31.8,367,8.7,95,3.7,2.3,145,5.6,0,0.0%,0,0.0%,2,0,0,0,2,4.4%,1,11.0,/players/R/RattSp00.htm,42,240,1,0,12,26,85.4,1,11,0,11,0,0,100.0,100005,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,68,42,6,0,Partly Cloudy
23,T.McKee,Philadelphia Eagles,27,15,34.9,236,5.8,153,5.7,3.7,116,4.3,0,0.0%,0,0.0%,2,0,0,0,2,4.7%,0,0,/players/M/McKeTa01.htm,41,269,2,0,17,19,100.6,3,1,0,2,0,0,100.0,100005,New York Giants,1,Lincoln Financial Field,outdoors,grass,29,39,17,1,Clear
25,D.Lock,New York Giants,22,4,13.8,109,3.8,37,1.7,1.3,101,4.6,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/L/LockDr00.htm,29,138,1,1,0,45,82.3,2,3,0,3,1,0,100.0,100005,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,29,39,17,1,Clear
27,M.Rudolph,Tennessee Titans,7,3,30.0,28,3.1,24,3.4,2.7,46,6.6,0,0.0%,0,0.0%,1,0,0,0,1,9.1%,1,5.0,/players/R/RudoMa00.htm,9,70,0,0,8,24,99.1,1,5,0,5,0,0,42.0,100005,Houston Texans,1,Nissan,outdoors,grass,36,84,9,40,Overcast
29,W.Levis,Tennessee Titans,9,6,33.3,261,15.4,128,14.2,7.5,47,5.2,0,0.0%,0,0.0%,1,0,0,0,1,5.3%,1,8.0,/players/L/LeviWi00.htm,17,175,1,0,8,49,108.7,4,8,0,8,2,1,58.0,100005,Houston Texans,1,Nissan,outdoors,grass,36,84,9,40,Overcast
31,C.Stroud,Houston Texans,6,4,66.7,27,4.5,27,4.5,4.5,23,3.8,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/S/StroCJ00.htm,6,50,1,0,0,14,141.0,0,0,0,0,0,0,18.0,100005,Tennessee Titans,0,Nissan,outdoors,grass,36,84,9,40,Overcast
33,D.Mills,Houston Texans,12,4,17.4,154,7.0,95,7.9,4.3,33,2.8,0,0.0%,0,0.0%,1,0,0,0,1,4.2%,1,9.0,/players/M/MillDa02.htm,22,128,0,0,11,24,71.8,3,11,0,9,0,0,82.0,100005,Tennessee Titans,0,Nissan,outdoors,grass,36,84,9,40,Overcast
35,K.Murray,Arizona Cardinals,25,14,40.0,212,6.1,121,4.8,3.5,121,4.8,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,9.0,/players/M/MurrKy00.htm,35,242,4,0,0,28,128.5,3,22,0,9,0,0,92.0,100005,San Francisco 49ers,1,State Farm,indoors,grass,61,14,3,0,Clear
37,J.Dobbs,San Francisco 49ers,29,16,35.6,298,6.9,229,7.9,5.3,97,3.3,0,0.0%,0,0.0%,2,0,0,0,2,4.2%,3,5.3,/players/D/DobbJo00.htm,43,326,2,2,28,36,86.0,8,17,1,8,2,1,100.0,100005,Arizona Cardinals,0,State Farm,indoors,grass,61,14,3,0,Clear
39,A.O'Connell,Las Vegas Raiders,24,10,29.4,286,8.4,162,6.8,4.8,52,2.2,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,9.0,/players/O/OConAi00.htm,34,214,2,1,0,25,94.5,4,13,0,9,0,0,94.0,100005,Los Angeles Chargers,1,Allegiant,indoors,grass,57,23,0,1,Mostly Cloudy
41,J.Herbert,Los Angeles Chargers,28,13,35.1,277,7.7,204,7.3,5.7,142,5.1,0,0.0%,0,0.0%,1,0,0,0,1,2.6%,1,41.0,/players/H/HerbJu00.htm,36,346,2,0,10,47,125.2,4,42,0,41,0,0,100.0,100005,Las Vegas Raiders,0,Allegiant,indoors,grass,57,23,0,1,Mostly Cloudy
43,J.Love,Green Bay Packers,7,3,25.0,77,6.4,45,6.4,3.8,24,3.4,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/L/LoveJo03.htm,12,69,0,0,0,19,74.7,0,0,0,0,0,0,35.0,100005,Chicago Bears,1,Lambeau Field,outdoors,grass,15,58,7,4,Overcast
45,M.Willis,Green Bay Packers,10,4,25.0,138,10.6,112,11.2,8.6,24,2.4,0,0.0%,0,0.0%,3,0,0,0,3,18.8%,0,0,/players/W/WillMa12.htm,13,136,0,0,21,41,109.8,1,3,0,3,1,1,66.0,100005,Chicago Bears,1,Lambeau Field,outdoors,grass,15,58,7,4,Overcast
47,C.Williams,Chicago Bears,21,10,33.3,114,3.9,50,2.4,1.7,98,4.7,0,0.0%,0,0.0%,1,0,0,0,1,3.1%,2,3.5,/players/W/WillCa03.htm,29,148,1,0,7,32,95.2,3,10,0,4,1,0,100.0,100005,Green Bay Packers,0,Lambeau Field,outdoors,grass,15,58,7,4,Overcast
49,J.Milton,New England Patriots,22,14,48.3,267,9.2,169,7.7,5.8,72,3.3,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,6.5,/players/M/MiltJo00.htm,29,241,1,0,0,48,111.4,10,16,1,9,1,1,95.0,100005,Buffalo Bills,1,Gillette,outdoors,turf,35,49,14,0,Overcast
51,M.White,Buffalo Bills,3,1,9.1,98,8.9,-4,-1.3,-0.4,32,10.7,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/W/WhitMi01.htm,11,28,0,0,0,14,39.6,0,0,0,0,0,0,30.0,100005,New England Patriots,0,Gillette,outdoors,turf,35,49,14,0,Overcast
53,M.Trubisky,Buffalo Bills,15,6,28.6,124,5.9,32,2.1,1.5,69,4.6,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,8.0,/players/T/TrubMi00.htm,21,101,1,0,0,20,97.5,4,12,0,8,1,0,72.0,100005,New England Patriots,0,Gillette,outdoors,turf,35,49,14,0,Overcast
55,J.Goff,Detroit Lions,27,14,40.0,145,4.4,118,4.4,3.6,113,4.2,0,0.0%,0,0.0%,2,0,0,0,2,5.7%,0,0,/players/G/GoffJa00.htm,33,231,1,2,15,23,80.7,0,0,0,0,0,0,100.0,100005,Minnesota Vikings,1,Ford Field,indoors,turf,23,70,6,6,Clear
57,S.Darnold,Minnesota Vikings,18,7,16.3,284,6.9,53,2.9,1.3,113,6.3,0,0.0%,0,0.0%,2,0,0,0,2,4.4%,2,5.5,/players/D/DarnSa00.htm,41,166,0,0,24,31,55.5,3,10,0,9,0,0,100.0,100005,Detroit Lions,0,Ford Field,indoors,turf,23,70,6,6,Clear
59,M.Penix,Atlanta Falcons,21,11,28.2,433,11.4,243,11.6,6.4,69,3.3,0,0.0%,0,0.0%,1,0,0,0,1,2.5%,1,5.0,/players/P/PeniMi00.htm,38,312,2,1,2,42,88.9,1,5,1,5,0,0,100.0,100005,Carolina Panthers,1,Mercedes-Benz,indoors,turf,54,48,13,20,Overcast
61,B.Young,Carolina Panthers,25,15,44.1,299,8.8,157,6.3,4.6,94,3.8,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,4,6.3,/players/Y/YounBr01.htm,34,251,3,0,0,33,123.5,5,24,2,11,0,0,100.0,100005,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,54,48,13,20,Overcast
63,J.Garoppolo,Los Angeles Rams,27,16,36.4,215,5.2,102,3.8,2.5,232,8.6,0,0.0%,0,0.0%,3,0,0,0,3,6.7%,1,5.0,/players/G/GaroJi00.htm,41,334,2,1,15,50,97.0,2,5,0,5,0,0,100.0,100005,Seattle Seahawks,1,SoFi,indoors,turf,75,24,0,0,Clear
65,G.Smith,Seattle Seahawks,20,13,44.8,220,8.1,99,5.0,3.7,124,6.2,0,0.0%,0,0.0%,2,0,0,0,2,6.9%,0,0,/players/S/SmitGe00.htm,27,223,4,0,13,32,137.8,2,14,0,15,0,0,100.0,100005,Los Angeles Rams,0,SoFi,indoors,turf,75,24,0,0,Clear
