Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
10,D.Lock,New York Giants,21,12,23.5,409,8.3,147,7.0,3.0,80,3.8,0,0.0%,0,0.0%,2,0,0,0,2,3.6%,5,11.8,/players/L/LockDr00.htm,49,227,0,1,14,23,48.6,5,59,0,25,0,0,99.0,1208,New Orleans Saints,1,MetLife,outdoors,turf,53,40,18,0,Clear
11,D.Carr,New Orleans Saints,20,10,31.3,315,10.2,124,6.2,4.0,95,4.8,0,0.0%,0,0.0%,1,0,0,0,1,3.0%,1,3.0,/players/C/CarrDe02.htm,31,219,1,1,9,32,82.6,2,12,0,9,1,0,93.0,1208,New York Giants,0,MetLife,outdoors,turf,53,40,18,0,Clear
12,W.Levis,Tennessee Titans,19,8,23.5,101,3.2,64,3.4,2.0,104,5.5,0,0.0%,0,0.0%,2,0,0,0,2,5.9%,0,0.0,/players/L/LeviWi00.htm,32,168,0,0,22,30,73.4,1,3,0,3,1,0,100.0,1208,Jacksonville Jaguars,1,Nissan,outdoors,grass,54,53,8,12,Overcast
13,M.Jones,Jacksonville Jaguars,23,11,34.4,168,5.4,106,4.6,3.4,114,5.0,0,0.0%,0,0.0%,1,0,0,0,1,2.9%,2,2.5,/players/J/JoneMa05.htm,31,220,0,2,0,31,66.6,3,3,0,3,0,0,100.0,1208,Tennessee Titans,0,Nissan,outdoors,grass,54,53,8,12,Overcast
14,B.Mayfield,Tampa Bay Buccaneers,18,13,39.4,245,8.4,144,8.0,5.0,151,8.4,0,0.0%,0,0.0%,4,0,0,0,4,11.4%,2,6.0,/players/M/MayfBa00.htm,29,295,3,2,27,44,101.9,2,12,0,7,1,1,100.0,1208,Las Vegas Raiders,1,Raymond James,outdoors,grass,70,54,5,1,Mostly Cloudy
15,D.Ridder,Las Vegas Raiders,12,5,26.3,114,6.3,51,4.3,2.8,50,4.2,0,0.0%,0,0.0%,1,0,0,0,1,5.0%,1,3.0,/players/R/RiddDe00.htm,18,101,0,0,0,25,81.0,2,3,0,3,1,0,34.0,1208,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,70,54,5,1,Mostly Cloudy
16,A.O'Connell,Las Vegas Raiders,11,3,15.0,177,9.3,57,5.2,3.0,47,4.3,0,0.0%,0,0.0%,1,0,0,0,1,4.8%,1,4.0,/players/O/OConAi00.htm,19,104,0,1,10,29,51.2,6,6,1,4,1,1,66.0,1208,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,70,54,5,1,Mostly Cloudy
17,M.Stafford,Los Angeles Rams,23,15,50.0,276,9.2,193,8.4,6.4,127,5.5,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0.0,/players/S/StafMa00.htm,30,320,2,0,0,37,132.6,0,0,0,0,0,0,100.0,1208,Buffalo Bills,1,SoFi,indoors,turf,67,54,3,4,Clear
18,J.Allen,Buffalo Bills,22,14,37.8,316,8.5,158,7.2,4.3,184,8.4,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,4,19.0,/players/A/AlleJo02.htm,37,342,3,0,0,51,117.2,10,82,3,30,0,0,100.0,1208,Los Angeles Rams,0,SoFi,indoors,turf,67,54,3,4,Clear
19,P.Mahomes,Kansas City Chiefs,24,11,27.5,256,6.9,86,3.6,2.3,124,5.2,0,0.0%,0,0.0%,3,0,0,0,3,7.1%,2,9.5,/players/M/MahoPa00.htm,37,210,1,0,8,26,88.8,4,17,0,10,0,0,100.0,1208,Los Angeles Chargers,1,GEHA Field at Arrowhead,outdoors,grass,50,93,13,11,Overcast
20,J.Herbert,Los Angeles Chargers,21,11,33.3,299,10.0,139,6.6,4.6,74,3.5,0,0.0%,0,0.0%,3,0,0,0,3,8.6%,2,4.5,/players/H/HerbJu00.htm,30,213,1,0,19,38,101.1,4,12,0,7,0,0,98.0,1208,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,50,93,13,11,Overcast
21,K.Murray,Arizona Cardinals,25,14,35.0,142,3.7,86,3.4,2.3,173,6.9,0,0.0%,0,0.0%,2,0,0,0,2,4.8%,2,8.5,/players/M/MurrKy00.htm,38,259,2,2,24,41,80.9,3,16,0,14,0,0,100.0,1208,Seattle Seahawks,1,State Farm,indoors,grass,68,23,5,0,Clear
22,G.Smith,Seattle Seahawks,24,10,33.3,107,3.6,73,3.0,2.4,160,6.7,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0.0,/players/S/SmitGe00.htm,30,233,1,0,0,24,110.1,1,0,0,0,1,0,100.0,1208,Arizona Cardinals,0,State Farm,indoors,grass,68,23,5,0,Clear
