,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
29,R.Stevenson,New England Patriots,1,0,0,0,2,1,0,0,1,0.5,0,0.0,0,0,5,0,0,45.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
31,A.Gibson,New England Patriots,1,0,0,0,12,63,0,3,63,5.3,0,0.0,0,0,20,0,0,55.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
33,J.Brissett,New England Patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
35,D.Maye,New England Patriots,0,0,0,0,6,32,0,1,32,5.3,0,0.0,0,0,12,0,1,81.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
37,D.Davis,Los Angeles Chargers,2,2,29,1,1,-3,0,0,-3,-3.0,0,0.0,0,0,-3,23,0,18.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
39,Q.Johnston,Los Angeles Chargers,8,5,48,0,0,0,0,0,0,0,0,0,0,0,0,19,0,68.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
41,K.Vidal,Los Angeles Chargers,2,0,0,0,5,24,0,1,24,4.8,0,0.0,0,0,7,0,0,11.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
43,H.Haskins,Los Angeles Chargers,1,1,10,0,8,30,0,2,30,3.8,0,0.0,0,0,8,10,0,35.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
45,J.Dobbins,Los Angeles Chargers,1,1,7,0,19,76,1,4,76,4.0,0,0.0,0,0,13,7,0,53.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
47,T.Heinicke,Los Angeles Chargers,0,0,0,0,1,8,0,1,8,8.0,0,0.0,0,0,8,0,0,13.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
49,J.Herbert,Los Angeles Chargers,0,0,0,0,3,12,0,2,12,4.0,0,0.0,0,0,7,0,0,87.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
51,B.Corum,Los Angeles Rams,0,0,0,0,3,-4,0,0,-4,-1.3,0,0.0,0,0,3,0,0,5.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
53,C.Kupp,Los Angeles Rams,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,29,0,84.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
55,P.Nacua,Los Angeles Rams,14,10,129,0,0,0,0,0,0,0,0,0,0,0,0,25,0,95.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
57,K.Williams,Los Angeles Rams,3,3,16,0,13,56,1,1,56,4.3,0,0.0,0,0,18,6,0,95.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
59,M.Stafford,Los Angeles Rams,0,0,0,0,6,16,0,3,16,2.7,0,0.0,0,0,12,0,0,100.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
61,D.Dallas,Arizona Cardinals,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
63,G.Dortch,Arizona Cardinals,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0,32.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
65,T.McBride,Arizona Cardinals,16,12,123,1,0,0,0,0,0,0,0,0,0,0,0,34,0,92.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
67,J.Conner,Arizona Cardinals,3,2,4,0,4,4,0,1,4,1.0,0,0.0,0,0,2,2,0,15.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
69,M.Wilson,Arizona Cardinals,6,4,22,0,1,7,0,0,7,7.0,0,0.0,0,0,7,9,0,87.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
71,M.Carter,Arizona Cardinals,2,2,11,0,13,70,0,5,70,5.4,0,0.0,0,0,13,6,0,72.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
73,K.Murray,Arizona Cardinals,0,0,0,0,4,32,0,1,32,8.0,0,0.0,0,0,12,0,0,100.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
74,S.Smartt,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
75,D.Vele,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
76,K.Boutte,New England Patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
77,W.Dissly,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
78,T.Higbee,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
79,Z.Jones,Arizona Cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
80,C.Sutton,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
81,J.Whittington,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
82,A.Hooper,New England Patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
83,A.Iosivas,Cincinnati Bengals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
84,C.Parkinson,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
85,H.Henry,New England Patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
86,D.Robinson,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
87,M.Gesicki,Cincinnati Bengals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
88,M.Harrison,Arizona Cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
89,N.Adkins,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
90,J.Palmer,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
91,C.Grandy,Cincinnati Bengals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
92,E.Higgins,Arizona Cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Los Angeles Rams,0,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
93,A.Trautman,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
94,L.Krull,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
95,D.Chark,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
96,T.Fisk,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
97,T.Higgins,Cincinnati Bengals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
98,D.Allen,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,Arizona Cardinals,1,SoFi,indoors,turf,59,90,3,1,Partly Cloudy
99,L.McConkey,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1228,New England Patriots,0,Gillette,outdoors,turf,43,92,5,66,Foggy
