,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
60,A.Trautman,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
61,T.Franklin,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
62,C.Brooks,Green Bay Packers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
63,C.Samuel,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
64,G.Calcaterra,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
65,C.Otton,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
66,D.Goedert,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
67,D.Knox,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
68,C.Sutton,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
69,K.Coleman,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
70,M.Evans,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
71,A.Brown,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
72,J.McMillan,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
73,D.Wicks,Green Bay Packers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
74,D.Brown,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
75,K.Shakir,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
