,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
20,G.Wilson,New York Jets,0,0,0,0,0,0,0,0,0,0,6,5,41,0,0,12,0,0,0,0,0,0,0,97.0,1110,Arizona Cardinals,0,State Farm,indoors,grass,72,15,5,0,Clear
21,B.Allen,New York Jets,7,27,0,3,27,3.9,0,0.0,0,0,1,1,7,0,12,7,0,0,0,0,0,0,0,24.0,1110,Arizona Cardinals,0,State Farm,indoors,grass,72,15,5,0,Clear
22,B.Hall,New York Jets,10,52,0,2,52,5.2,0,0.0,0,0,4,4,31,0,14,15,0,0,0,0,0,0,0,81.0,1110,Arizona Cardinals,0,State Farm,indoors,grass,72,15,5,0,Clear
23,A.Rodgers,New York Jets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,100.0,1110,Arizona Cardinals,0,State Farm,indoors,grass,72,15,5,0,Clear
24,B.Thomas,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0,0,3,2,12,0,0,10,0,0,0,0,0,0,0,86.0,1110,Minnesota Vikings,1,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
25,T.Bigsby,Jacksonville Jaguars,2,4,0,0,4,2.0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23.0,1110,Minnesota Vikings,1,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
26,T.Etienne,Jacksonville Jaguars,11,44,0,2,44,4.0,0,0.0,0,0,1,1,-1,0,18,-1,0,0,0,0,0,0,0,68.0,1110,Minnesota Vikings,1,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
27,M.Jones,Jacksonville Jaguars,5,8,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,8,1.6,0,0.0,0,100.0,1110,Minnesota Vikings,1,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
28,J.Nailor,Minnesota Vikings,1,-7,0,0,-7,-7.0,0,0.0,0,0,3,1,11,0,-7,11,0,0,0,0,0,0,0,50.0,1110,Jacksonville Jaguars,0,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
29,J.Jefferson,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,9,5,48,0,0,15,0,0,0,0,0,0,0,93.0,1110,Jacksonville Jaguars,0,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
30,J.Addison,Minnesota Vikings,1,4,0,0,4,4.0,0,0.0,0,0,5,2,25,0,4,21,0,0,0,0,0,0,0,74.0,1110,Jacksonville Jaguars,0,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
