,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
49,T.McLaurin,Washington Commanders,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,82.0,1229,Atlanta Falcons,1,Northwest,outdoors,grass,58,93,7,85,Overcast
51,J.McNichols,Washington Commanders,3,2,5,0,1,5,0,0,5,5.0,0,0.0,0,0,5,6,0,27.0,1229,Atlanta Falcons,1,Northwest,outdoors,grass,58,93,7,85,Overcast
53,O.Zaccheaus,Washington Commanders,9,8,85,1,1,8,0,1,8,8.0,0,0.0,0,0,8,16,0,76.0,1229,Atlanta Falcons,1,Northwest,outdoors,grass,58,93,7,85,Overcast
55,C.Rodriguez,Washington Commanders,1,1,12,0,5,16,1,2,16,3.2,0,0.0,0,0,6,12,0,22.0,1229,Atlanta Falcons,1,Northwest,outdoors,grass,58,93,7,85,Overcast
57,B.Robinson,Washington Commanders,2,2,9,0,13,60,0,4,60,4.6,0,0.0,0,0,12,5,0,54.0,1229,Atlanta Falcons,1,Northwest,outdoors,grass,58,93,7,85,Overcast
59,J.Daniels,Washington Commanders,0,0,0,0,16,127,0,7,127,7.9,0,0.0,0,0,25,0,0,100.0,1229,Atlanta Falcons,1,Northwest,outdoors,grass,58,93,7,85,Overcast
61,D.London,Atlanta Falcons,13,7,106,0,0,0,0,0,0,0,0,0,0,0,0,31,0,97.0,1229,Washington Commanders,0,Northwest,outdoors,grass,58,93,7,85,Overcast
63,R.McCloud,Atlanta Falcons,1,1,13,0,1,14,0,1,14,14.0,0,0.0,0,0,14,13,0,62.0,1229,Washington Commanders,0,Northwest,outdoors,grass,58,93,7,85,Overcast
65,T.Allgeier,Atlanta Falcons,0,0,0,0,3,19,0,1,19,6.3,0,0.0,0,0,8,0,0,12.0,1229,Washington Commanders,0,Northwest,outdoors,grass,58,93,7,85,Overcast
67,B.Robinson,Atlanta Falcons,5,3,8,0,17,90,2,6,90,5.3,0,0.0,0,0,13,6,0,91.0,1229,Washington Commanders,0,Northwest,outdoors,grass,58,93,7,85,Overcast
