,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
23,J.Hurts,Philadelphia Eagles,7,70,1,2,70,10.0,0,0.0,0,0,44,0,0,0,0,0,0,100.0,1000019,Los Angeles Rams,1,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
25,P.Nacua,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,14,6,97,0,37,0,89.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
27,K.Williams,Los Angeles Rams,19,106,0,3,106,5.6,0,0.0,0,0,30,2,1,-1,0,-1,1,100.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
29,M.Stafford,Los Angeles Rams,2,5,0,0,5,2.5,0,0.0,0,0,5,0,0,0,0,0,1,100.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
30,D.Robinson,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
31,J.Whittington,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
32,T.Wallace,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
33,M.Hollins,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
34,T.Atwell,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
35,C.Kupp,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
36,A.Brown,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Los Angeles Rams,1,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
37,C.Parkinson,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
38,D.Kincaid,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
39,N.Agholor,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
40,K.Shakir,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
41,K.Coleman,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
42,R.Bateman,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
43,D.Knox,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
44,A.Cooper,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
45,D.Goedert,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Los Angeles Rams,1,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
46,D.Smith,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Los Angeles Rams,1,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
47,T.Higbee,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
48,I.Likely,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
49,A.Miller,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
50,C.Samuel,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
