,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
10,A.Barner,Seattle Seahawks,2,2,27,1,0,0,0,0,0,2.0,0,0.0,0,0.0,158.3,0,0,0,18,0,2,4,2.0,23,11.5,0,0.0,0,39.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
11,J.Bobo,Seattle Seahawks,3,3,30,0,0,0,0,0,0,8.0,0,0.0,0,0.0,108.3,0,0,0,11,0,3,24,8.0,6,2.0,0,0.0,0,30.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
12,J.Smith-Njigba,Seattle Seahawks,12,8,51,0,0,0,0,0,0,6.4,0,0.0,0,0.0,40.6,0,0,0,11,0,4,30,3.8,21,2.6,0,0.0,0,84.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
13,T.Lockett,Seattle Seahawks,9,5,61,0,0,0,0,0,0,6.6,0,0.0,0,0.0,76.6,0,0,0,29,0,4,40,8.0,21,4.2,0,0.0,0,71.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
14,D.Metcalf,Seattle Seahawks,12,7,104,0,0,0,0,0,0,11.2,0,0.0,0,0.0,86.8,0,0,0,29,1,4,73,10.4,31,4.4,0,0.0,0,81.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
15,Z.Charbonnet,Seattle Seahawks,5,5,39,0,0,-3,-0.6,42,8.4,-0.6,0,0.0,0,0.0,99.2,15,0,12,16,0,0,0,0,0,0,0,0.0,0,42.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
16,K.Walker,Seattle Seahawks,5,4,36,0,2,-6,-1.5,42,10.5,-1.0,0,0.0,0,0.0,96.7,80,3,28,13,0,0,0,0,0,0,0,0.0,0,59.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
17,J.Smith,Miami Dolphins,1,0,0,0,0,0,0,0,0,-5.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,42.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
18,M.Washington,Miami Dolphins,1,1,8,0,0,0,0,0,0,5.0,0,0.0,0,0.0,100.0,0,0,0,8,0,0,5,5.0,3,3.0,0,0.0,0,23.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
19,J.Waddle,Miami Dolphins,6,4,36,0,2,13,3.3,23,5.8,5.3,0,0.0,0,0.0,82.6,0,0,0,18,0,0,0,0,0,0,0,0.0,0,72.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
20,D.Achane,Miami Dolphins,3,3,14,0,0,-6,-2.0,20,6.7,-2.0,0,0.0,0,0.0,86.1,15,0,5,5,0,0,0,0,0,0,0,0.0,0,73.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
21,T.Hill,Miami Dolphins,7,4,23,0,1,19,4.8,4,1.0,18.4,0,0.0,0,0.0,63.4,19,0,16,17,0,0,0,0,0,0,0,0.0,0,73.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
22,J.Whyle,Tennessee Titans,1,1,5,0,0,0,0,0,0,5.0,0,0.0,0,0.0,87.5,0,0,0,5,0,1,5,5.0,0,0.0,0,0.0,0,54.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
23,C.Okonkwo,Tennessee Titans,3,1,5,0,0,0,0,0,0,4.3,0,0.0,0,0.0,42.4,0,0,0,5,0,0,-1,-1.0,6,6.0,0,0.0,0,51.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
24,T.Burks,Tennessee Titans,1,1,13,0,1,13,13.0,0,0.0,13.0,0,0.0,0,0.0,118.7,0,0,0,13,0,0,0,0,0,0,0,0.0,0,54.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
25,D.Hopkins,Tennessee Titans,4,2,31,0,0,0,0,0,0,11.8,0,0.0,0,0.0,36.5,0,0,0,16,0,1,31,15.5,0,0.0,0,0.0,0,32.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
26,T.Boyd,Tennessee Titans,2,2,31,0,0,0,0,0,0,10.5,0,0.0,0,0.0,118.7,0,0,0,27,0,1,21,10.5,10,5.0,0,0.0,0,49.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
27,C.Ridley,Tennessee Titans,3,1,5,0,0,-4,-4.0,9,9.0,-0.7,0,0.0,0,0.0,42.4,10,0,10,5,0,0,0,0,0,0,0,0.0,0,58.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
28,T.Spears,Tennessee Titans,2,2,0,0,0,-4,-2.0,4,2.0,-2.0,0,0.0,0,0.0,79.2,39,1,9,5,0,0,0,0,0,0,0,0.0,0,42.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
29,T.Pollard,Tennessee Titans,2,2,20,0,1,-4,-2.0,24,12.0,-2.0,0,0.0,0,0.0,108.3,88,1,41,16,0,0,0,0,0,0,0,0.0,0,60.0,930,Miami Dolphins,0,Hard Rock,outdoors,grass,87,70,8,2,Clear
