,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
25,C.Sutton,Denver Broncos,9,5,75,0,4,63,12.6,12,2.4,17.4,0,0,0,0.0,83.1,0,0,0,0,21,0,98.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
27,M.Mims,Denver Broncos,4,2,12,0,1,9,4.5,3,1.5,9.5,0,0,0,0.0,56.2,2,1,0,4,15,0,69.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
29,J.Williams,Denver Broncos,2,2,14,0,0,1,0.5,13,6.5,0.5,0,0,0,0.0,95.8,7,29,0,6,7,0,74.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
31,G.Calcaterra,Philadelphia Eagles,1,1,4,0,0,4,4.0,0,0.0,4.0,0,0,0,0.0,83.3,0,0,0,0,4,0,53.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
33,A.Brown,Philadelphia Eagles,3,1,10,0,1,10,10.0,0,0.0,15.7,0,0,0,0.0,43.7,0,0,0,0,10,0,93.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
35,J.Dotson,Philadelphia Eagles,2,1,11,1,1,11,11.0,0,0.0,7.0,0,0,0,0.0,106.2,0,0,0,0,11,0,57.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
37,D.Goedert,Philadelphia Eagles,6,4,47,1,2,8,2.0,39,9.8,4.2,0,0,0,0.0,129.9,0,0,0,0,24,0,92.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
39,D.Smith,Philadelphia Eagles,4,4,55,0,2,36,9.0,19,4.8,9.0,0,0,0,0.0,118.7,0,0,0,0,28,0,90.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
41,S.Barkley,Philadelphia Eagles,2,2,4,0,0,-9,-4.5,13,6.5,-4.5,0,0,0,0.0,79.2,25,119,0,17,4,0,83.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
43,C.Brooks,Green Bay Packers,3,2,9,0,0,-9,-4.5,18,9.0,-3.7,0,0,0,0.0,70.1,0,0,0,0,5,0,24.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
45,R.Doubs,Green Bay Packers,2,2,13,0,1,11,5.5,2,1.0,5.5,0,0,0,0.0,93.7,0,0,0,0,7,0,56.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
47,B.Melton,Green Bay Packers,3,1,16,0,1,16,16.0,0,0.0,21.3,0,0,0,0.0,12.5,0,0,0,0,16,0,48.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
49,D.Wicks,Green Bay Packers,6,2,39,0,2,37,18.5,2,1.0,24.0,0,0,0,0.0,17.4,0,0,0,0,29,0,77.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
51,J.Reed,Green Bay Packers,4,4,46,0,3,26,6.5,20,5.0,6.5,0,0,0,0.0,114.6,0,0,0,0,20,0,55.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
53,E.Wilson,Green Bay Packers,3,1,23,0,1,-7,-7.0,30,30.0,2.3,0,0,0,0.0,61.8,3,6,0,4,23,0,17.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
55,T.Kraft,Green Bay Packers,5,5,26,0,1,5,1.0,21,4.2,1.0,0,0,0,0.0,88.3,2,10,0,8,12,0,97.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
57,J.Jacobs,Green Bay Packers,3,3,40,0,3,6,2.0,34,11.3,2.0,0,0,0,0.0,118.7,18,81,1,31,15,0,62.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
59,C.Otton,Tampa Bay Buccaneers,2,2,32,0,2,13,6.5,19,9.5,6.5,0,0,0,0.0,118.7,0,0,0,0,20,0,96.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
61,J.McMillan,Tampa Bay Buccaneers,4,2,41,0,2,30,15.0,11,5.5,15.8,0,0,0,0.0,86.5,0,0,0,0,26,0,92.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
63,M.Evans,Tampa Bay Buccaneers,7,7,92,1,7,63,9.0,29,4.1,9.0,0,0,0,0.0,158.3,0,0,0,0,23,0,81.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
65,R.White,Tampa Bay Buccaneers,2,2,14,0,0,4,2.0,10,5.0,2.0,0,0,0,0.0,95.8,1,1,0,1,13,0,38.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
67,B.Irving,Tampa Bay Buccaneers,2,2,6,1,1,-6,-3.0,12,6.0,-3.0,0,0,0,0.0,118.7,17,77,0,19,4,0,69.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
69,O.Zaccheaus,Washington Commanders,3,3,19,0,1,-4,-1.3,23,7.7,-1.3,0,0,0,0.0,93.1,0,0,0,0,8,0,68.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
71,Z.Ertz,Washington Commanders,4,2,23,0,2,20,10.0,3,1.5,7.5,0,0,0,0.0,67.7,0,0,0,0,14,0,63.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
73,T.McLaurin,Washington Commanders,10,7,89,1,4,73,10.4,16,2.3,11.4,0,0,0,0.0,130.8,0,0,0,0,35,0,78.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
75,D.Brown,Washington Commanders,5,5,89,1,4,44,8.8,45,9.0,8.8,0,0,0,0.0,158.3,0,0,0,0,30,0,62.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
77,B.Robinson,Washington Commanders,5,4,22,0,1,-6,-1.5,28,7.0,-0.6,0,0,0,0.0,85.0,10,16,0,5,13,0,51.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
79,A.Ekeler,Washington Commanders,4,3,26,0,2,9,3.0,17,5.7,2.3,0,0,0,0.0,91.7,8,27,0,12,18,0,47.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
80,T.Badie,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
81,J.Allen,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
82,J.Daniels,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
83,M.Trubisky,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
84,R.Davis,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
85,J.Hurts,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
86,J.McNichols,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
87,J.Love,Green Bay Packers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Philadelphia Eagles,0,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
88,M.Mariota,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
89,K.Gainwell,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Green Bay Packers,1,Corinthians,outdoors,grass,40,59,5,0,Mostly Cloudy
90,J.Cook,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
91,B.Mayfield,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1000012,Washington Commanders,1,Raymond James,outdoors,grass,57,57,0,2,Partly Cloudy
